Datum,Tijd,Duur,Seconden,Bedrag(incl. btw)
01/02/2019,20:01:59,00:00:56,56,"€0,00"
01/02/2019,20:54:55,00:00:06,6,"€0,00"
01/03/2019,13:07:12,00:00:37,37,"€0,00"
01/03/2019,13:34:28,00:00:28,28,"€0,00"
01/03/2019,14:10:15,00:00:34,34,"€0,00"
01/03/2019,14:27:33,00:02:04,124,"€0,00"
31/03/2019,11:37:55,00:01:27,87,"€0,00"
31/03/2019,11:40:18,00:01:24,84,"€0,00"
31/03/2019,11:53:11,00:00:35,35,"€0,00"
31/03/2019,12:26:20,00:01:15,75,"€0,00"
31/03/2019,15:22:02,00:00:06,6,"€0,00"
31/03/2019,15:22:23,00:00:44,44,"€0,00"
31/03/2019,16:05:42,00:00:14,14,"€0,00"
30/04/2019,17:22:58,00:00:05,5,"€0,00"
31/05/2019,18:34:57,00:01:11,71,"€0,00"
30/06/2019,09:37:06,00:00:44,44,"€0,00"
31/08/2019,17:43:39,00:02:20,140,"€0,00"
31/08/2019,21:12:38,00:00:18,18,"€0,00"
30/09/2019,22:07:59,00:05:54,354,"€0,00"
01/11/2019,08:03:47,00:01:26,86,"€0,00"
01/11/2019,10:05:17,00:00:19,19,"€0,00"
01/11/2019,12:52:57,00:01:16,76,"€0,00"
01/11/2019,14:31:20,00:00:23,23,"€0,00"
01/11/2019,15:38:32,00:00:21,21,"€0,00"
01/11/2019,15:48:52,00:00:33,33,"€0,00"
01/11/2019,15:57:45,00:01:48,108,"€0,00"
01/11/2019,16:33:56,00:00:04,4,"€0,00"
01/11/2019,16:36:19,00:00:04,4,"€0,00"
01/11/2019,16:55:52,00:01:03,63,"€0,00"
01/11/2019,17:59:38,00:00:16,16,"€0,00"
01/11/2019,18:04:52,00:00:06,6,"€0,00"
01/11/2019,18:06:45,00:00:07,7,"€0,00"
01/12/2019,12:42:00,00:00:18,18,"€0,00"
13/01/2019,09:35:43,00:03:20,200,"€0,00"
13/01/2019,14:07:53,00:01:19,79,"€0,00"
13/01/2019,17:46:28,00:01:35,95,"€0,00"
13/01/2019,18:13:32,00:00:16,16,"€0,00"
13/01/2019,19:46:51,00:02:19,139,"€0,00"
13/01/2019,20:18:53,00:00:28,28,"€0,00"
14/01/2019,19:42:53,00:00:03,3,"€0,00"
14/01/2019,19:43:22,00:00:43,43,"€0,00"
15/01/2019,12:42:55,00:00:40,40,"€0,00"
15/01/2019,16:21:44,00:00:04,4,"€0,00"
15/01/2019,16:21:53,00:00:05,5,"€0,00"
15/01/2019,16:22:54,00:00:03,3,"€0,00"
15/01/2019,16:37:26,00:02:42,162,"€0,00"
16/01/2019,08:19:39,00:01:10,70,"€0,00"
16/01/2019,17:21:42,00:00:42,42,"€0,00"
17/01/2019,13:40:31,00:00:05,5,"€0,00"
18/01/2019,15:17:59,00:00:10,10,"€0,00"
18/01/2019,17:19:57,00:01:38,98,"€0,00"
19/01/2019,10:44:54,00:00:12,12,"€0,00"
19/01/2019,13:09:21,00:00:15,15,"€0,00"
19/01/2019,13:09:53,00:00:39,39,"€0,00"
19/01/2019,17:27:26,00:00:06,6,"€0,00"
19/01/2019,20:18:19,00:00:24,24,"€0,00"
20/01/2019,09:25:14,00:00:06,6,"€0,00"
20/01/2019,09:25:33,00:00:05,5,"€0,00"
20/01/2019,09:25:46,00:01:08,68,"€0,00"
20/01/2019,14:49:51,00:00:22,22,"€0,00"
20/01/2019,17:12:47,00:00:03,3,"€0,00"
20/01/2019,17:12:58,00:00:18,18,"€0,00"
21/01/2019,08:42:16,00:00:03,3,"€0,00"
21/01/2019,08:42:51,00:00:03,3,"€0,25"
21/01/2019,08:46:43,00:03:29,209,"€0,00"
21/01/2019,08:50:46,00:03:23,203,"€0,25"
21/01/2019,10:34:30,00:00:06,6,"€0,25"
21/01/2019,10:50:46,00:01:15,75,"€0,50"
21/01/2019,14:13:13,00:02:08,128,"€0,75"
22/01/2019,11:36:46,00:00:05,5,"€0,25"
22/01/2019,11:36:57,00:00:20,20,"€0,25"
22/01/2019,12:31:34,00:00:36,36,"€0,25"
22/01/2019,12:41:48,00:00:13,13,"€0,25"
22/01/2019,19:25:00,00:00:26,26,"€0,25"
23/01/2019,09:46:06,00:00:12,12,"€0,25"
23/01/2019,10:45:30,00:00:04,4,"€0,25"
23/01/2019,11:56:14,00:01:19,79,"€0,50"
23/01/2019,15:04:57,00:02:57,177,"€0,75"
23/01/2019,16:01:42,00:00:56,56,"€0,25"
24/01/2019,12:50:47,00:00:05,5,"€0,25"
24/01/2019,18:17:05,00:00:15,15,"€0,25"
25/01/2019,12:00:44,00:00:33,33,"€0,25"
25/01/2019,12:00:54,00:00:05,5,"€0,25"
25/01/2019,15:09:14,00:00:01,1,"€0,25"
25/01/2019,15:09:40,00:00:31,31,"€0,25"
25/01/2019,18:17:58,00:00:28,28,"€0,25"
25/01/2019,18:18:38,00:00:21,21,"€0,25"
25/01/2019,18:19:13,00:00:21,21,"€0,25"
26/01/2019,13:10:55,00:00:02,2,"€0,25"
26/01/2019,13:14:40,00:00:02,2,"€0,25"
26/01/2019,13:15:25,00:00:04,4,"€0,25"
26/01/2019,13:15:58,00:00:05,5,"€0,25"
26/01/2019,13:20:22,00:00:38,38,"€0,25"
26/01/2019,13:21:42,00:00:20,20,"€0,25"
26/01/2019,13:22:12,00:00:04,4,"€0,25"
26/01/2019,13:22:36,00:00:23,23,"€0,25"
26/01/2019,15:08:18,00:03:42,222,"€1,00"
26/01/2019,16:10:07,00:00:29,29,"€0,25"
27/01/2019,14:54:26,00:00:22,22,"€0,25"
27/01/2019,15:19:28,00:00:16,16,"€0,25"
27/01/2019,15:38:51,00:00:05,5,"€0,25"
27/01/2019,15:39:14,00:00:48,48,"€0,25"
28/01/2019,11:33:09,00:00:45,45,"€0,25"
28/01/2019,14:18:26,00:01:15,75,"€0,50"
28/01/2019,16:13:27,00:01:02,62,"€0,50"
28/01/2019,17:05:04,00:00:06,6,"€0,25"
28/01/2019,17:05:36,00:00:02,2,"€0,25"
28/01/2019,17:07:06,00:00:02,2,"€0,25"
28/01/2019,19:32:47,00:00:02,2,"€0,25"
29/01/2019,10:24:52,00:00:33,33,"€0,25"
29/01/2019,15:29:35,00:00:20,20,"€0,25"
29/01/2019,15:41:56,00:00:18,18,"€0,25"
29/01/2019,19:42:15,00:00:14,14,"€0,25"
30/01/2019,07:37:54,00:00:54,54,"€0,25"
30/01/2019,11:00:39,00:00:05,5,"€0,25"
30/01/2019,14:21:23,00:01:02,62,"€0,50"
30/01/2019,15:17:48,00:08:44,524,"€2,25"
30/01/2019,16:52:44,00:01:03,63,"€0,50"
30/01/2019,17:32:59,00:00:03,3,"€0,25"
31/01/2019,21:12:18,00:00:54,54,"€0,25"
